0	0	2016-03-20 10:43:42.368000	4073	City name 0	Region name 0	Country name 0	2016-03-30 10:43:42.368000	DONE	EUR
1	1	2016-03-20 10:43:42.368000	5508	City name 1	Region name 1	Country name 1	2016-03-30 10:43:42.368000	DONE	GBP
2	2	2016-03-20 10:43:42.368000	7755	City name 2	Region name 2	Country name 2	2016-03-30 10:43:42.368000	DONE	CHF
3	3	2016-03-20 10:43:42.368000	7113	City name 3	Region name 3	Country name 3	2016-03-30 10:43:42.368000	DONE	EUR
4	4	2016-03-20 10:43:42.368000	5737	City name 4	Region name 4	Country name 4	2016-03-30 10:43:42.368000	DONE	EUR
5	5	2016-03-20 10:43:42.368000	4647	City name 5	Region name 5	Country name 5	2016-03-30 10:43:42.368000	DONE	GBP
6	6	2016-03-20 10:43:42.368000	7454	City name 6	Region name 6	Country name 6	2016-03-30 10:43:42.368000	DONE	GBP
7	7	2016-03-20 10:43:42.369000	5142	City name 7	Region name 7	Country name 7	2016-03-30 10:43:42.369000	DONE	EUR
8	8	2016-03-20 10:43:42.369000	7527	City name 8	Region name 8	Country name 8	2016-03-30 10:43:42.369000	DONE	EUR
9	9	2016-03-20 10:43:42.369000	4715	City name 9	Region name 9	Country name 9	2016-03-30 10:43:42.369000	DONE	EUR
10	10	2016-03-20 10:43:42.369000	7161	City name 10	Region name 10	Country name 10	2016-03-30 10:43:42.369000	DONE	GBP
11	11	2016-03-20 10:43:42.369000	1942	City name 11	Region name 11	Country name 11	2016-03-30 10:43:42.369000	DONE	CHF
12	12	2016-03-20 10:43:42.369000	1545	City name 12	Region name 12	Country name 12	2016-03-30 10:43:42.369000	DONE	GBP
13	13	2016-03-20 10:43:42.369000	9018	City name 13	Region name 13	Country name 13	2016-03-30 10:43:42.369000	DONE	EUR
14	14	2016-03-20 10:43:42.369000	5540	City name 14	Region name 14	Country name 14	2016-03-30 10:43:42.369000	DONE	EUR
15	15	2016-03-20 10:43:42.369000	8835	City name 15	Region name 15	Country name 15	2016-03-30 10:43:42.369000	DONE	EUR
16	16	2016-03-20 10:43:42.369000	5418	City name 16	Region name 16	Country name 16	2016-03-30 10:43:42.369000	DONE	GBP
17	17	2016-03-20 10:43:42.369000	5844	City name 17	Region name 17	Country name 17	2016-03-30 10:43:42.369000	DONE	GBP
18	18	2016-03-20 10:43:42.369000	895	City name 18	Region name 18	Country name 18	2016-03-30 10:43:42.369000	DONE	GBP
19	19	2016-03-20 10:43:42.369000	1587	City name 19	Region name 19	Country name 19	2016-03-30 10:43:42.369000	DONE	CHF
20	20	2016-03-20 10:43:42.369000	5524	City name 20	Region name 20	Country name 20	2016-03-30 10:43:42.369000	DONE	GBP
21	21	2016-03-20 10:43:42.369000	4452	City name 21	Region name 21	Country name 21	2016-03-30 10:43:42.369000	DONE	CHF
22	22	2016-03-20 10:43:42.369000	9927	City name 22	Region name 22	Country name 22	2016-03-30 10:43:42.369000	DONE	GBP
23	23	2016-03-20 10:43:42.369000	8728	City name 23	Region name 23	Country name 23	2016-03-30 10:43:42.369000	DONE	GBP
24	24	2016-03-20 10:43:42.369000	4201	City name 24	Region name 24	Country name 24	2016-03-30 10:43:42.369000	DONE	GBP
25	25	2016-03-20 10:43:42.369000	9863	City name 25	Region name 25	Country name 25	2016-03-30 10:43:42.369000	DONE	GBP
26	26	2016-03-20 10:43:42.369000	8969	City name 26	Region name 26	Country name 26	2016-03-30 10:43:42.369000	DONE	EUR
27	27	2016-03-20 10:43:42.369000	283	City name 27	Region name 27	Country name 27	2016-03-30 10:43:42.369000	DONE	EUR
28	28	2016-03-20 10:43:42.369000	1510	City name 28	Region name 28	Country name 28	2016-03-30 10:43:42.369000	DONE	EUR
29	29	2016-03-20 10:43:42.369000	4146	City name 29	Region name 29	Country name 29	2016-03-30 10:43:42.369000	DONE	GBP
30	30	2016-03-20 10:43:42.369000	1402	City name 30	Region name 30	Country name 30	2016-03-30 10:43:42.369000	DONE	CHF
31	31	2016-03-20 10:43:42.369000	2149	City name 31	Region name 31	Country name 31	2016-03-30 10:43:42.369000	DONE	EUR
32	32	2016-03-20 10:43:42.369000	9220	City name 32	Region name 32	Country name 32	2016-03-30 10:43:42.369000	DONE	EUR
