0	0	2018-01-16 15:46:03.837493	tweet 0	91	161	225	206
0	1	2018-01-16 15:46:03.837522	tweet 0	570	360	618	680
0	2	2018-01-16 15:46:03.837544	tweet 0	179	1000	175	9
0	3	2018-01-16 15:46:03.837570	tweet 0	2	551	851	134
0	4	2018-01-16 15:46:03.837598	tweet 0	75	589	83	592
0	5	2018-01-16 15:46:03.837615	tweet 0	738	678	188	40
0	6	2018-01-16 15:46:03.837631	tweet 0	268	173	694	401
0	7	2018-01-16 15:46:03.837646	tweet 0	233	818	399	546
0	8	2018-01-16 15:46:03.837661	tweet 0	585	580	548	95
0	9	2018-01-16 15:46:03.837676	tweet 0	191	73	403	681
0	10	2018-01-16 15:46:03.837691	tweet 0	686	482	931	473
0	11	2018-01-16 15:46:03.837705	tweet 0	814	448	932	27
0	12	2018-01-16 15:46:03.837720	tweet 0	460	937	952	180
0	13	2018-01-16 15:46:03.837735	tweet 0	945	787	260	501
0	14	2018-01-16 15:46:03.837750	tweet 0	51	261	261	767
0	15	2018-01-16 15:46:03.837764	tweet 0	541	329	252	919
0	16	2018-01-16 15:46:03.837779	tweet 0	345	37	717	477
0	17	2018-01-16 15:46:03.837794	tweet 0	377	949	436	644
0	18	2018-01-16 15:46:03.837809	tweet 0	346	99	709	477
0	19	2018-01-16 15:46:03.837823	tweet 0	843	713	306	247
0	20	2018-01-16 15:46:03.837838	tweet 0	857	41	388	556
0	21	2018-01-16 15:46:03.837853	tweet 0	577	984	947	245
0	22	2018-01-16 15:46:03.837868	tweet 0	183	638	345	769
0	23	2018-01-16 15:46:03.837882	tweet 0	147	385	851	647
0	24	2018-01-16 15:46:03.837897	tweet 0	672	585	719	911
0	25	2018-01-16 15:46:03.837912	tweet 0	369	850	917	246
0	26	2018-01-16 15:46:03.837927	tweet 0	485	714	11	559
0	27	2018-01-16 15:46:03.837941	tweet 0	678	309	359	734
0	28	2018-01-16 15:46:03.837956	tweet 0	19	662	643	198
0	29	2018-01-16 15:46:03.837971	tweet 0	711	252	297	111
0	30	2018-01-16 15:46:03.837985	tweet 0	878	799	164	751
0	31	2018-01-16 15:46:03.838000	tweet 0	780	435	383	287
0	32	2018-01-16 15:46:03.838016	tweet 0	753	642	968	886
0	33	2018-01-16 15:46:03.838031	tweet 0	671	606	786	500
0	34	2018-01-16 15:46:03.838045	tweet 0	711	439	255	514
0	35	2018-01-16 15:46:03.838060	tweet 0	959	833	871	303
0	36	2018-01-16 15:46:03.838075	tweet 0	335	708	786	104
0	37	2018-01-16 15:46:03.838090	tweet 0	290	894	29	953
0	38	2018-01-16 15:46:03.838104	tweet 0	410	107	391	251
0	39	2018-01-16 15:46:03.838119	tweet 0	784	591	712	449
0	40	2018-01-16 15:46:03.838134	tweet 0	451	960	374	521
0	41	2018-01-16 15:46:03.838148	tweet 0	961	188	148	807
0	42	2018-01-16 15:46:03.838163	tweet 0	415	654	619	294
0	43	2018-01-16 15:46:03.838178	tweet 0	154	351	799	317
0	44	2018-01-16 15:46:03.838192	tweet 0	49	381	295	6
0	45	2018-01-16 15:46:03.838207	tweet 0	241	223	505	359
0	46	2018-01-16 15:46:03.838222	tweet 0	507	164	1	144
0	47	2018-01-16 15:46:03.838237	tweet 0	412	749	822	62
0	48	2018-01-16 15:46:03.838251	tweet 0	142	385	488	518
0	49	2018-01-16 15:46:03.838266	tweet 0	996	705	177	60
0	50	2018-01-16 15:46:03.838280	tweet 0	191	334	899	461
0	51	2018-01-16 15:46:03.838295	tweet 0	57	181	309	213
0	52	2018-01-16 15:46:03.838310	tweet 0	207	177	566	200
0	53	2018-01-16 15:46:03.838324	tweet 0	661	660	556	528
0	54	2018-01-16 15:46:03.838339	tweet 0	828	982	969	819
0	55	2018-01-16 15:46:03.838353	tweet 0	464	841	936	869
0	56	2018-01-16 15:46:03.838368	tweet 0	210	941	798	168
0	57	2018-01-16 15:46:03.838382	tweet 0	339	465	41	53
0	58	2018-01-16 15:46:03.838397	tweet 0	404	460	39	551
0	59	2018-01-16 15:46:03.838412	tweet 0	32	611	117	738
0	60	2018-01-16 15:46:03.838426	tweet 0	241	940	875	981
0	61	2018-01-16 15:46:03.838441	tweet 0	291	815	869	527
0	62	2018-01-16 15:46:03.838455	tweet 0	180	155	409	5
0	63	2018-01-16 15:46:03.838470	tweet 0	500	659	743	782
