0	20150101	16	18	12	15	5	17	7	13	24	2016-03-04 11:09:24.585818
0	20150102	36	31	34	47	42	42	37	26	56	2016-03-04 11:09:24.585865
0	20150103	62	61	59	80	54	54	49	43	83	2016-03-04 11:09:24.585890
0	20150104	93	89	98	109	62	79	59	70	107	2016-03-04 11:09:24.585913
0	20150105	119	127	126	114	88	108	90	79	136	2016-03-04 11:09:24.585935
0	20150106	138	141	135	140	120	114	109	116	152	2016-03-04 11:09:24.585957
0	20150107	147	181	158	175	129	139	115	132	189	2016-03-04 11:09:24.585979
0	20150108	171	191	167	192	142	148	143	142	201	2016-03-04 11:09:24.586000
0	20150109	177	215	190	209	168	168	168	174	216	2016-03-04 11:09:24.586022
0	20150110	207	230	225	225	178	179	178	207	253	2016-03-04 11:09:24.586044
0	20150111	228	247	242	253	184	187	200	239	271	2016-03-04 11:09:24.586066
0	20150112	238	277	271	291	219	224	235	260	286	2016-03-04 11:09:24.586087
0	20150113	246	285	288	321	231	245	244	271	298	2016-03-04 11:09:24.586109
0	20150114	260	299	306	349	250	251	250	299	306	2016-03-04 11:09:24.586130
0	20150115	278	323	325	364	259	277	275	330	319	2016-03-04 11:09:24.586152
0	20150116	301	350	365	397	294	294	300	346	333	2016-03-04 11:09:24.586173
0	20150117	309	380	385	429	314	323	330	357	367	2016-03-04 11:09:24.586194
0	20150118	345	402	409	446	322	356	349	385	401	2016-03-04 11:09:24.586215
0	20150119	380	421	439	474	333	391	360	420	411	2016-03-04 11:09:24.586236
0	20150120	391	449	474	486	364	430	378	447	442	2016-03-04 11:09:24.586257
0	20150121	402	459	507	496	374	444	408	478	469	2016-03-04 11:09:24.586279
0	20150122	425	495	516	502	404	452	421	487	501	2016-03-04 11:09:24.586300
0	20150123	434	527	527	511	439	470	460	495	530	2016-03-04 11:09:24.586321
0	20150124	465	554	536	551	445	488	476	518	538	2016-03-04 11:09:24.586342
0	20150125	498	580	547	569	458	519	485	546	571	2016-03-04 11:09:24.586363
0	20150126	533	617	564	578	472	547	500	582	580	2016-03-04 11:09:24.586384
0	20150127	543	635	572	609	483	580	534	602	600	2016-03-04 11:09:24.586405
0	20150128	560	665	605	632	513	588	555	610	614	2016-03-04 11:09:24.586426
0	20150129	585	676	628	651	541	605	565	646	640	2016-03-04 11:09:24.586448
