0	20150101	17	34	6	33	28	18	37	09:24.0	09:24.0
0	20150102	43	58	11	67	42	37	55	09:24.0	09:24.0
0	20150103	59	75	16	94	60	42	81	09:24.0	09:24.0
0	20150104	70	91	51	111	92	47	97	09:24.0	09:24.0
0	20150105	78	130	81	131	122	53	120	09:24.0	09:24.0
0	20150106	95	168	90	153	157	60	144	09:24.0	09:24.0
0	20150107	120	206	111	187	186	72	154	09:24.0	09:24.0
0	20150108	157	213	134	207	226	103	171	09:24.0	09:24.0
0	20150109	164	245	144	231	238	134	200	09:24.0	09:24.0
0	20150110	175	266	163	246	267	153	223	09:24.0	09:24.0
0	20150111	208	299	182	252	283	171	246	09:24.0	09:24.0
0	20150112	235	331	214	282	290	190	280	09:24.0	09:24.0
0	20150113	267	343	249	308	317	221	303	09:24.0	09:24.0
0	20150114	278	358	269	340	325	252	332	09:24.0	09:24.0
0	20150115	310	366	276	368	341	263	344	09:24.0	09:24.0
0	20150116	321	386	291	403	373	298	362	09:24.0	09:24.0
0	20150117	337	423	299	412	413	322	379	09:24.0	09:24.0
0	20150118	366	445	331	431	426	361	396	09:24.0	09:24.0
0	20150119	396	475	367	469	448	393	413	09:24.0	09:24.0
0	20150120	425	481	377	500	478	414	437	09:24.0	09:24.0
0	20150121	449	509	415	535	504	443	463	09:24.0	09:24.0
0	20150122	470	546	441	554	535	458	475	09:24.0	09:24.0
0	20150123	509	554	479	585	541	486	505	09:24.0	09:24.0
0	20150124	544	560	487	610	553	510	530	09:24.0	09:24.0
0	20150125	559	574	521	627	588	543	548	09:24.0	09:24.0
0	20150126	568	607	542	655	612	577	574	09:24.0	09:24.0
0	20150127	578	636	568	682	630	602	614	09:24.0	09:24.0
0	20150128	587	642	600	714	648	624	653	09:24.0	09:24.0
0	20150129	613	650	627	748	668	648	665	09:24.0	09:24.0
0	20150130	633	673	650	764	689	677	674	09:24.0	09:24.0
0	20150131	646	692	673	802	695	707	698	09:24.0	09:24.0
0	20150201	668	713	692	819	716	733	704	09:24.0	09:24.0
0	20150202	693	727	713	847	744	742	716	09:24.0	09:24.0
0	20150203	713	756	730	870	758	756	741	09:24.0	09:24.0
0	20150204	736	778	761	891	792	773	772	09:24.0	09:24.0
0	20150205	748	790	767	916	810	794	782	09:24.0	09:24.0
0	20150206	762	795	779	921	850	813	814	09:24.0	09:24.0
0	20150207	777	825	814	942	880	833	823	09:24.0	09:24.0
0	20150208	814	840	846	958	900	864	828	09:24.0	09:24.0
0	20150209	842	863	859	971	932	897	851	09:24.0	09:24.0
0	20150210	870	898	896	1009	949	915	861	09:24.0	09:24.0
0	20150211	893	925	910	1043	984	939	866	09:24.0	09:24.0
0	20150212	928	949	916	1068	1017	946	886	09:24.0	09:24.0
0	20150213	950	959	948	1100	1027	960	896	09:24.0	09:24.0
0	20150214	963	973	957	1129	1056	966	905	09:24.0	09:24.0
0	20150215	997	989	969	1161	1079	971	941	09:24.0	09:24.0
0	20150216	1029	1003	1004	1196	1087	977	955	09:24.0	09:24.0
0	20150217	1043	1023	1028	1222	1121	1005	984	09:24.0	09:24.0
0	20150218	1066	1047	1042	1241	1141	1014	1003	09:24.0	09:24.0
0	20150219	1101	1087	1059	1248	1175	1027	1042	09:24.0	09:24.0
0	20150220	1109	1127	1086	1278	1207	1039	1066	09:24.0	09:24.0
0	20150221	1139	1133	1121	1300	1233	1052	1089	09:24.0	09:24.0
0	20150222	1151	1165	1127	1317	1256	1068	1110	09:24.0	09:24.0
0	20150223	1157	1176	1153	1333	1285	1091	1122	09:24.0	09:24.0
0	20150224	1180	1207	1168	1368	1313	1113	1160	09:24.0	09:24.0
0	20150225	1209	1243	1180	1374	1352	1137	1190	09:24.0	09:24.0
0	20150226	1244	1253	1212	1382	1376	1154	1224	09:24.0	09:24.0
0	20150227	1261	1286	1223	1416	1415	1165	1231	09:24.0	09:24.0
0	20150228	1283	1326	1237	1451	1442	1184	1238	09:24.0	09:24.0
0	20150301	1296	1364	1270	1486	1458	1206	1253	09:24.0	09:24.0
