0	20150101	33	6	17	34	28	18	37	2016-03-04 11:09:23.985604	2016-03-04 11:09:23.985617
0	20150102	67	11	43	58	42	37	55	2016-03-04 11:09:23.985652	2016-03-04 11:09:23.985656
0	20150103	94	16	59	75	60	42	81	2016-03-04 11:09:23.985679	2016-03-04 11:09:23.985682
0	20150104	111	51	70	91	92	47	97	2016-03-04 11:09:23.985702	2016-03-04 11:09:23.985705
0	20150105	131	81	78	130	122	53	120	2016-03-04 11:09:23.985726	2016-03-04 11:09:23.985729
0	20150106	153	90	95	168	157	60	144	2016-03-04 11:09:23.985750	2016-03-04 11:09:23.985753
0	20150107	187	111	120	206	186	72	154	2016-03-04 11:09:23.985782	2016-03-04 11:09:23.985785
0	20150108	207	134	157	213	226	103	171	2016-03-04 11:09:23.985818	2016-03-04 11:09:23.985821
0	20150109	231	144	164	245	238	134	200	2016-03-04 11:09:23.985841	2016-03-04 11:09:23.985844
0	20150110	246	163	175	266	267	153	223	2016-03-04 11:09:23.985863	2016-03-04 11:09:23.985866
0	20150111	252	182	208	299	283	171	246	2016-03-04 11:09:23.985885	2016-03-04 11:09:23.985888
0	20150112	282	214	235	331	290	190	280	2016-03-04 11:09:23.985907	2016-03-04 11:09:23.985910
0	20150113	308	249	267	343	317	221	303	2016-03-04 11:09:23.985929	2016-03-04 11:09:23.985932
0	20150114	340	269	278	358	325	252	332	2016-03-04 11:09:23.985951	2016-03-04 11:09:23.985954
0	20150115	368	276	310	366	341	263	344	2016-03-04 11:09:23.985973	2016-03-04 11:09:23.985976
0	20150116	403	291	321	386	373	298	362	2016-03-04 11:09:23.985995	2016-03-04 11:09:23.985998
0	20150117	412	299	337	423	413	322	379	2016-03-04 11:09:23.986017	2016-03-04 11:09:23.986020
0	20150118	431	331	366	445	426	361	396	2016-03-04 11:09:23.986039	2016-03-04 11:09:23.986042
0	20150119	469	367	396	475	448	393	413	2016-03-04 11:09:23.986061	2016-03-04 11:09:23.986064
0	20150120	500	377	425	481	478	414	437	2016-03-04 11:09:23.986083	2016-03-04 11:09:23.986086
0	20150121	535	415	449	509	504	443	463	2016-03-04 11:09:23.986105	2016-03-04 11:09:23.986107
0	20150122	554	441	470	546	535	458	475	2016-03-04 11:09:23.986126	2016-03-04 11:09:23.986129
0	20150123	585	479	509	554	541	486	505	2016-03-04 11:09:23.986148	2016-03-04 11:09:23.986151
0	20150124	610	487	544	560	553	510	530	2016-03-04 11:09:23.986170	2016-03-04 11:09:23.986173
0	20150125	627	521	559	574	588	543	548	2016-03-04 11:09:23.986192	2016-03-04 11:09:23.986195
0	20150126	655	542	568	607	612	577	574	2016-03-04 11:09:23.986214	2016-03-04 11:09:23.986217
0	20150127	682	568	578	636	630	602	614	2016-03-04 11:09:23.986236	2016-03-04 11:09:23.986239
0	20150128	714	600	587	642	648	624	653	2016-03-04 11:09:23.986258	2016-03-04 11:09:23.986260
0	20150129	748	627	613	650	668	648	665	2016-03-04 11:09:23.986280	2016-03-04 11:09:23.986282
0	20150130	764	650	633	673	689	677	674	2016-03-04 11:09:23.986301	2016-03-04 11:09:23.986304
0	20150131	802	673	646	692	695	707	698	2016-03-04 11:09:23.986323	2016-03-04 11:09:23.986326
0	20150201	819	692	668	713	716	733	704	2016-03-04 11:09:23.986344	2016-03-04 11:09:23.986347
0	20150202	847	713	693	727	744	742	716	2016-03-04 11:09:23.986366	2016-03-04 11:09:23.986369
0	20150203	870	730	713	756	758	756	741	2016-03-04 11:09:23.986388	2016-03-04 11:09:23.986391
0	20150204	891	761	736	778	792	773	772	2016-03-04 11:09:23.986410	2016-03-04 11:09:23.986413
0	20150205	916	767	748	790	810	794	782	2016-03-04 11:09:23.986432	2016-03-04 11:09:23.986435
0	20150206	921	779	762	795	850	813	814	2016-03-04 11:09:23.986454	2016-03-04 11:09:23.986457
0	20150207	942	814	777	825	880	833	823	2016-03-04 11:09:23.986475	2016-03-04 11:09:23.986478
0	20150208	958	846	814	840	900	864	828	2016-03-04 11:09:23.986497	2016-03-04 11:09:23.986500
0	20150209	971	859	842	863	932	897	851	2016-03-04 11:09:23.986519	2016-03-04 11:09:23.986522
0	20150210	1009	896	870	898	949	915	861	2016-03-04 11:09:23.986541	2016-03-04 11:09:23.986544
0	20150211	1043	910	893	925	984	939	866	2016-03-04 11:09:23.986564	2016-03-04 11:09:23.986571
0	20150212	1068	916	928	949	1017	946	886	2016-03-04 11:09:23.986592	2016-03-04 11:09:23.986594
0	20150213	1100	948	950	959	1027	960	896	2016-03-04 11:09:23.986614	2016-03-04 11:09:23.986617
0	20150214	1129	957	963	973	1056	966	905	2016-03-04 11:09:23.986646	2016-03-04 11:09:23.986650
